conference,year,season,paper_id,area_code,korea,institutions,types
IEDM,2023,S2023-24,1-1,SP,0,,
IEDM,2023,S2023-24,1-2,D2,0,,
IEDM,2023,S2023-24,1-3,SP,1,Samsung,company
IEDM,2023,S2023-24,1-4,C5,0,,
IEDM,2023,S2023-24,1-5,D1,0,,
IEDM,2023,S2023-24,1-6,C1,1,SK hynix,company
IEDM,2023,S2023-24,2-1,D1,0,,
IEDM,2023,S2023-24,2-2,D1,1,SK hynix,company
IEDM,2023,S2023-24,2-3,D1,0,,
IEDM,2023,S2023-24,2-4,D1,0,,
IEDM,2023,S2023-24,2-5,D1,0,,
IEDM,2023,S2023-24,2-6,D1,0,,
IEDM,2023,S2023-24,1-1,SP,1,Samsung,company
IEDM,2023,S2023-24,1-2,D2,0,,
IEDM,2023,S2023-24,1-3,SP,1,Samsung,company
IEDM,2023,S2023-24,2-1,D1,0,,
IEDM,2023,S2023-24,2-2,D1,0,,
IEDM,2023,S2023-24,2-3,D1,0,,
IEDM,2023,S2023-24,2-4,D1,0,,
IEDM,2023,S2023-24,2-5,D1,0,,
IEDM,2023,S2023-24,2-6,D1,0,,
IEDM,2023,S2023-24,3-1,X2,0,,
IEDM,2023,S2023-24,3-2,X2,0,,
IEDM,2023,S2023-24,3-3,X2,0,,
IEDM,2023,S2023-24,3-4,X2,0,,
IEDM,2023,S2023-24,4-1,D5,0,,
IEDM,2023,S2023-24,4-2,D5,0,,
IEDM,2023,S2023-24,4-3,D5,0,,
IEDM,2023,S2023-24,4-4,D5,0,,
IEDM,2023,S2023-24,4-5,D5,0,,
IEDM,2023,S2023-24,4-6,D5,1,KAIST,university
IEDM,2023,S2023-24,5-1,X1,0,,
IEDM,2023,S2023-24,5-2,X1,0,,
IEDM,2023,S2023-24,5-3,X1,0,,
IEDM,2023,S2023-24,5-4,X1,0,,
IEDM,2023,S2023-24,5-5,X1,1,Samsung;SK hynix,company
IEDM,2023,S2023-24,6-1,D2,1,Samsung,company
IEDM,2023,S2023-24,6-2,D2,0,,
IEDM,2023,S2023-24,6-3,D2,1,Samsung,company
IEDM,2023,S2023-24,6-4,D2,1,SK hynix,company
IEDM,2023,S2023-24,6-5,D2,0,,
IEDM,2023,S2023-24,6-6,D2,1,Samsung,company
IEDM,2023,S2023-24,6-7,D2,1,Samsung,company
IEDM,2023,S2023-24,7-1,X1,0,,
IEDM,2023,S2023-24,7-2,X1,1,Samsung,company
IEDM,2023,S2023-24,7-3,X1,0,,
IEDM,2023,S2023-24,7-4,X1,0,,
IEDM,2023,S2023-24,7-5,X1,0,,
IEDM,2023,S2023-24,7-6,X1,1,Samsung,company
IEDM,2023,S2023-24,8-1,D7,0,,
IEDM,2023,S2023-24,8-2,D7,0,,
IEDM,2023,S2023-24,8-3,D7,1,Samsung,company
IEDM,2023,S2023-24,8-4,D7,0,,
IEDM,2023,S2023-24,8-5,D7,0,,
IEDM,2023,S2023-24,8-6,D7,0,,
IEDM,2023,S2023-24,9-1,D6,0,,
IEDM,2023,S2023-24,9-2,D6,0,,
IEDM,2023,S2023-24,9-3,D6,0,,
IEDM,2023,S2023-24,9-4,D6,0,,
IEDM,2023,S2023-24,9-5,D6,0,,
IEDM,2023,S2023-24,9-6,D6,0,,
