conference,year,season,session_id,paper_id,area_code,area_name,tier1,map_source,title
IEDM,2023,S2023-24,1,1-1,??,(unmapped),,title,"Advanced Technology Requirement for Edge Computing, Jie Deng, Qualcomm"
IEDM,2023,S2023-24,1,1-2,??,(unmapped),,title,"Process Technology Towards 1nm and Beyond, Tomonari Yamamoto, 1TEL"
IEDM,2023,S2023-24,1,1-3,??,(unmapped),,title,"Empowering Platform Technology with Future Semiconductor Device Innovation, Jaehun Jeong,"
IEDM,2023,S2023-24,1,1-4,C5,Power Management Circuits,Circuits & Systems,title,Future Power Delivery Process Architectures and Their Capability and Impact on Interconnect
IEDM,2023,S2023-24,1,1-5,D1,Logic & Advanced CMOS Devices,Devices & Process Technology,title,"DTCO/STCO in the Era of Vertical Integration, Y.K. Chong, ARM Ltd"
IEDM,2023,S2023-24,1,1-6,C1,Digital Processors & AI Accelerators,Circuits & Systems,title,"Low Power SOC Design Trends/3D Integration/Packaging for Mobile Applications, Milind Shah,"
IEDM,2023,S2023-24,2,2-1,D1,Logic & Advanced CMOS Devices,Devices & Process Technology,session,"High-Density and High-Performance Technologies for Future Memory, Koji Sakui, Unisantis"
IEDM,2023,S2023-24,2,2-2,D1,Logic & Advanced CMOS Devices,Devices & Process Technology,session,"Advanced Packaging Solutions for High Performance Memory and Compute, Jaesik Lee, SK Hynix"
IEDM,2023,S2023-24,2,2-3,D1,Logic & Advanced CMOS Devices,Devices & Process Technology,session,"Analog In-Memory Computing for Deep Learning Inference, Abu Sebastian, IBM Research - Zurich"
IEDM,2023,S2023-24,2,2-4,D1,Logic & Advanced CMOS Devices,Devices & Process Technology,session,Key Challenges and Directional Path of Memory Technology for AI and High-Performance
IEDM,2023,S2023-24,2,2-5,D1,Logic & Advanced CMOS Devices,Devices & Process Technology,session,The Next Generation of AI Architectures: The Role of Advanced Packaging Technologies in Enabling
IEDM,2023,S2023-24,2,2-6,D1,Logic & Advanced CMOS Devices,Devices & Process Technology,session,Charge-Trapping Memories: From the Fundamental Device Physics to 3D Memory Architectures (3D
IEDM,2023,S2023-24,1,1-1,SP,Plenary / Invited / Panel / Showcase,Special / Non-technical,title,"Redefining Innovation: A Journey forward in New Dimension Era (Invited), Siyoung Choi,"
IEDM,2023,S2023-24,1,1-2,D2,Memory Devices & Technology,Devices & Process Technology,title,"Making Memory Magic and the Economics Beyond Moore’s Law (Invited), Thy Tran, Vice President"
IEDM,2023,S2023-24,1,1-3,SP,Plenary / Invited / Panel / Showcase,Special / Non-technical,title,"Semiconductor Challenges in the 5G and 6G Technology Platforms (Invited), Bjorn Ekelund"
IEDM,2023,S2023-24,2,2-1,D1,Logic & Advanced CMOS Devices,Devices & Process Technology,session,"Monolayer-MoS Stacked Nanosheet Channel with C-type Metal Contact, Yun-Yan Chung1, Wei"
IEDM,2023,S2023-24,2,2-2,D1,Logic & Advanced CMOS Devices,Devices & Process Technology,session,Exploring manufacturability of novel 2D channel materials: 300 mm wafer-scale 2D NMOS &
IEDM,2023,S2023-24,2,2-3,D1,Logic & Advanced CMOS Devices,Devices & Process Technology,session,Scaling opportunities for Gate-All-Around and beyond: A patterning perspective
IEDM,2023,S2023-24,2,2-4,D1,Logic & Advanced CMOS Devices,Devices & Process Technology,session,High Performance Nanosheet Technology Optimized for 77 K
IEDM,2023,S2023-24,2,2-5,D1,Logic & Advanced CMOS Devices,Devices & Process Technology,session,Evaluation of (110) versus (001) Channel Orientation for Improved nFET/pFET Device
IEDM,2023,S2023-24,2,2-6,D1,Logic & Advanced CMOS Devices,Devices & Process Technology,session,First Demonstration of Defect Elimination for Cryogenic Ge FinFET CMOS Inverter Showing
IEDM,2023,S2023-24,3,3-1,X2,Quantum & Cryogenic Technology,Cross-cutting / Emerging Computing,session,Barrier Booster for Remote Extension Doping and its DTCO in 1D & 2D FETs
IEDM,2023,S2023-24,3,3-2,X2,Quantum & Cryogenic Technology,Cross-cutting / Emerging Computing,session,Modeling the Performance and Reliability of Two-Dimensional Semiconductor Transistors
IEDM,2023,S2023-24,3,3-3,X2,Quantum & Cryogenic Technology,Cross-cutting / Emerging Computing,session,Advancing High-performance Large-Scale Quantum Computing with Cryogenic 2D-CMOS
IEDM,2023,S2023-24,3,3-4,X2,Quantum & Cryogenic Technology,Cross-cutting / Emerging Computing,session,A Materials-Device Co-Design Framework for Realizing Ultra Energy-Efficient All-2D-Spin-Logic
IEDM,2023,S2023-24,4,4-1,D5,"Device Modeling, Simulation & Reliability",Devices & Process Technology,session,ESD Challenges in 300nm Si Substrate of DTCO/STCO Scaling Options
IEDM,2023,S2023-24,4,4-2,D5,"Device Modeling, Simulation & Reliability",Devices & Process Technology,session,Poly-Bounded Silicon-Controlled-Rectifier for ESD Protection in FinFET Technology
IEDM,2023,S2023-24,4,4-3,D5,"Device Modeling, Simulation & Reliability",Devices & Process Technology,session,ESD HBM 3kV Discharge for Monolithic GaN-on-Si HEMTs Integrated Chips
IEDM,2023,S2023-24,4,4-4,D5,"Device Modeling, Simulation & Reliability",Devices & Process Technology,session,ESD Reliability in Advanced Nodes
IEDM,2023,S2023-24,4,4-5,D5,"Device Modeling, Simulation & Reliability",Devices & Process Technology,session,Interlayer Engineering to Achieve <1 m2K/GW Thermal Boundary Resistances to Diamond for
IEDM,2023,S2023-24,4,4-6,D5,"Device Modeling, Simulation & Reliability",Devices & Process Technology,session,A Holistic Approach to Predict Wirebond Corrosion Failure in Extreme Operating Environments
IEDM,2023,S2023-24,5,5-1,X1,Neuromorphic & In-Memory Computing,Cross-cutting / Emerging Computing,session,Multi-gate FeFET Discriminates Spatiotemporal Pulse Sequences for Dendrocentric Learning
IEDM,2023,S2023-24,5,5-2,X1,Neuromorphic & In-Memory Computing,Cross-cutting / Emerging Computing,session,ReRAM-Based NeoHebbian Synapses for Faster Training-Time-to-Accuracy Neuromorphic
IEDM,2023,S2023-24,5,5-3,X1,Neuromorphic & In-Memory Computing,Cross-cutting / Emerging Computing,session,Engineering the kinetics of redox-based memristive devices for neuromorphic computing
IEDM,2023,S2023-24,5,5-4,X1,Neuromorphic & In-Memory Computing,Cross-cutting / Emerging Computing,session,BEOL-compatible 4F2 Single Crystalline Semiconductor Oscillator for Low-power and Large-scale
IEDM,2023,S2023-24,5,5-5,X1,Neuromorphic & In-Memory Computing,Cross-cutting / Emerging Computing,session,High Area Efficiency (6 TOPS/mm2) Multimodal Neuromorphic Computing System Implemented
IEDM,2023,S2023-24,6,6-1,D2,Memory Devices & Technology,Devices & Process Technology,session,Self-Aligned in 2Pitch Cell Array Transistor (S2CAT) for 4F2 Based DRAM Generation Extension
